2014-01-07 22:30:29	RT @johnlxck: LISTEN TO TRACK 22 AND TELL ME YOU AREN'T TERRIFIED https://t.co/SmgvZtDJgm
2014-01-07 22:30:28	RT @Louis_Tomlinson: Nan chilling on the sofa ! Westside http://t.co/h2RmrhReqa http://t.co/cVCqPtCTgH
2014-01-07 22:30:28	RT @NateEngel: Happy birthday to one of the best wrestlers to come out of the big apple @troy_nickerson have a great one bro! #HappyBirthday
2014-01-07 22:30:28	Sweet Summer Sun, Live in Hyde Park 2013 (Live) - Single por The Rolling Stones https://t.co/AgxEMhZaf0
2014-01-07 22:30:28	“@justinbieber: favorite off of #journals? http://t.co/efAMPpLgUA”Memphis, one life, heartbreaker and all that matters
2014-01-07 22:30:28	RT @justinbieber: favorite off of #journals? http://t.co/8JQCSx6rgG
2014-01-07 22:30:27	RT @justinbieber: favorite off of #journals? http://t.co/8JQCSx6rgG
2014-01-07 22:30:27	RT @jaimeburchardt: I need help. Trying to find an alternative to the Apple Magic mouse. Horizontal/vertical scrolling, compatible w/ PC &amp; …
2014-01-07 22:30:27	RT @TheGRAMMYs: Here it is! View the tracklisting for the 2014 GRAMMY Nominees album out 1/21: http://t.co/UEjArxQH2Y #GRAMMYs http://t.co/…
2014-01-07 22:30:27	Save over 40% on the XL2610 Free-Arm Sewing Machine by Brother http://t.co/T0LZkb9iDr
2014-01-07 22:30:26	RT @WakaFlockabsm: Kevin heart is officially the funniest man on planet earth!!!!!!! http://t.co/0FiE89MaZC
2014-01-07 22:30:26	RT @JosephMorgan: I made this film with @LukeMassey and @Bookpirate a long time before any of you knew my name. https://t.co/TZDpDJWUF5 Sti…
2014-01-07 22:30:26	Gamasutra - Cross-platform development is Tegra K1's big draw: http://t.co/JCV3iP6FBs - Yummy processor to kills consoles and Apple devices.
2014-01-07 22:30:26	@GOTLUCKIE_COM: @GOTLUCKIE_COM: How to Diddy Bop - Single by Bingo https://t.co/BseatcgFod
2014-01-07 22:30:26	iTunes Brazil:Black and White and Red Lipstick: The Problem With A Cappella... http://t.co/rb9Vr4OCMz #brasil #brazil #相互フォロー #sougofollow
2014-01-07 22:30:26	"SILENT LOVE on #iBooks. How Sara taught David to love. http://t.co/i3XWOWXDsI
http://t.co/fWsLauIowF #KINDLE"
2014-01-07 22:30:26	RT @illst8gohard: Why They Mad - Single by Riff Raff &amp; Ghetty https://t.co/UAJcPhoB6Z
2014-01-07 22:30:26	Apple is reportedly having screen technology, battery, and manufacturing issues while building the iWatch http://t.co/RQsWyElKHY
2014-01-07 22:30:25	RT @justinbieber: favorite off of #journals? http://t.co/8JQCSx6rgG
2014-01-07 22:30:25	RT @justinbieber: favorite off of #journals? http://t.co/8JQCSx6rgG
2014-01-07 22:30:25	LOYALTY DONT EXIST vid2 http://t.co/rC9AAA6cPX Young Noble/GageGully http://t.co/mzr2Z5gulM #California #westup #oneWest #CA
2014-01-07 22:30:25	RT @justinbieber: favorite off of #journals? http://t.co/8JQCSx6rgG
2014-01-07 22:30:24	RT @JosephMorgan: After all this time it's here! @ArmisticeMovie So very proud. https://t.co/TZDpDJWUF5
2014-01-07 22:30:24	Every day I'm levelling! And now I'm level 40 in #CSRClassics for iPad! Get it for FREE! http://t.co/CUPyYXoatu
2014-01-07 22:30:24	iTunes Brazil:Curtis Jackson and the Jeweled Skull: Money, Murder and... http://t.co/1F4b9lb2wQ #brasil #brazil #相互フォロー #sougofollow
2014-01-07 22:30:24	RT @justinbieber: favorite off of #journals? http://t.co/8JQCSx6rgG
2014-01-07 22:30:24	Apple Only Want Me When I Got Her Brother.
2014-01-07 22:30:24	RT @LittleMixOffic: USA! 'Stand Down' is now available on @iTunesMusic! Pre-order the deluxe version of the #Salute now here http://t.co/GZ…
2014-01-07 22:30:24	I just got a new assault truck in #GunnerZ http://t.co/VdrHp9weCb
